Time,Value,Amount From,Token From,Amount To,Token To,Transaction Hash,Status
1m,$0.0096,"0.028855",SOL,"N/A",Unknown,E6E7JKTLgQ1u1rtz8fgj5564KixsoneUN2ESntJoMSCaQ66Y6rxifzTk4PACYtZCPboTAewQuwm4pQuFCzkziFg,Failed
6m,$0.0008,"0.003500",SOL,"0.001475",SOL,iMHYuYXBQj2RJq52QLRmhCCqq38657FKc2bq6Us4jy2wDAP6RwRG7dX7kWG4ZfTxe3aSuC9ETkWLzXoC2LAyh2x,Success
7m,$0.0090,"0.001500",SOL,"0.000959",SOL,2ZCvYUJ3fQ2T6YKbwRadwMznXJsPK3WjUfxpNURL4WL6fKLWKjVAGohKtXxu3TRQ8d1GZfamKuk9hf8fTtyVNrLG,Success
8m,$0.0019,"0.006600",SOL,"0.001576",SOL,52vbC4r3XthWPeBrgoeQvRiS8rdKk4eqaWxiTnfCxm2HNeobR8EVcXgeGSjLA3pXsPRbtvRG23JWRWZYcbXDvTaX,Success
10m,$0.0008,"0.003500",SOL,"0.001397",SOL,43rJG9bMqG8nsb3trk72a3W5yBCvuJB9MgFTrarkeBR79Vd3KUk38q8SmZsgNug94Fn2k5sWMAeueDw657WtrXLD,Success
11m,$0.0090,"0.001500",SOL,"0.001033",SOL,ArxKZNBc6dW4enTZtPJsFAPv5mvguM9cjgHdQBDbXAupy5FG7hipCPT8WLVvErVbdScWCpiBXzgEk8BD15d24tm,Success
11m,$0.0018,"0.000960",SOL,"0.000970",SOL,3qtrsgqt5x5yRqGhX6CgJz9PZ4RojZHKxUgaaMZUSSaEFjjfa8TkvYVpEooNJJNz1TuadcnqaXRFG4G9Fy89mpfH,Success
15m,$0.0116,"0.029527",SOL,"N/A",Unknown,2Y5TVpTnbNLDvxZ9dWyX7pFWaLSezcMKvpzX1kGu97Sb9sScLctn1zyfCWxrFKrz6GWgdscw6qz3wqW3AvbpKMGS,Failed
15m,$0.0008,"0.003500",SOL,"0.001471",SOL,55bcod9FTzJVqxRYoGQ53WwMYD4b7cXwgHrZzcZx6rbY28pgwTEK397D1ZMYkzhLUzWQ9pnx4CykHnDhxVJpUcHs,Success
15m,$0.0019,"0.006600",SOL,"0.002805",SOL,2e8pT4E3gXYdyjMDoAkMwYnvRR4s1vM7oeADMqFQdbP8sVv6ywtkZaXcNVrTXTBjhvri4zj16EJr5fTd4t7TaaRn,Success
15m,$0.0022,"0.001110",SOL,"0.001379",SOL,37U5EZ9tu4Lvygv3BDm5rmw2a2mcVcH5bNdEprMLzFEGhpcyU9nJBeKhyhwNE8QLVdvb4MVAn5ZKn8vFNqe2XgKU,Success
16m,$0.0022,"0.001185",SOL,"0.001372",SOL,3fDBV1K7iEuJ3kBWJmzjfwxz4kpN5xhATybCiD96foDHaVhpSU9yFDipR2JqfV1Hp4n6aJXrP4mvGRBmiS4YHq22,Success
16m,$0.0001,"0.001500",SOL,"0.000809",SOL,3JUHMFovsxadrmNjZysyVGHpbKu14jASdcSL8aU8waCeWjnCAkZWcD9fuJLSZicBMNkEzJ9p1umUbM5x4UgooExF,Success
16m,$0.0030,"0.007565",SOL,"0.000976",SOL,515tKQTfrcPX9jerAN9z3M22yYcvk8xRKqEnf2rxB4vM8DkNUaEtWniQpeCJghsdTnV5DUALaqRVweoCvixAMofY,Success
16m,$0.0008,"0.003500",SOL,"0.001071",SOL,5R8Hu5S8GQWNqDdLNHPreXvdMrasxXvYwD52aWQr4nA8SQgkprQLCrwt1jwyuXEPEdBNo1dvA4CqPLKFcb4rENh8,Success
16m,$0.0000,"0.009511",SOL,"0.000953",SOL,5LtTvKVLpDhaHjohrsgUdSr7eMDsALwZrVzsq9KSnfg4TqKcvsJMycTVdZRfnPQsA9VmYeMN2GG3e1FBfqgMUHud,Success
17m,$0.0008,"0.003500",SOL,"0.001482",SOL,5JbM46WWrRQ7N1qyu3eTYc2MZGZDXkfc9oBzuhNNF4QUixhpPwjA6PzjhWg9GsaEqwxbYPfneSvAE8xEztcypYxx,Success
19m,$0.0059,"0.017766",SOL,"0.001669",SOL,64UocCcS9nGTQQfHhss8Wn6D5AAwk2NpXGhgL2NYuCJWeJWiPoQkgRWaJUWmkgeUwR8xKK3M7w5EjCXnd4diMUwJ,Success
19m,$0.0029,"0.001490",SOL,"0.001367",SOL,5ic5Ds8VBMCyvAnM8qFRCq2CspFv2ZnqLkvs9iLw8yGUxvJmHXQcx6vtNWKoWaeMBBRzACsHf1ze9o3mMty62kpQ,Success
19m,$0.0084,"0.025110",SOL,"N/A",Unknown,24F33H2iJagWiXggtMBcM7RBaw3fQArm6YfJnt7muLrqd8hwKYFDN2m8Vt8HZ87iw74LymBQLTnsLKUX9NzkcGyv,Failed
19m,$0.0024,"0.001111",SOL,"0.001365",SOL,zWvw2Fz5u7gUUYp5nvx7AQAJytgp7PshMKyJYwK1vF3Nd5tf1FAeqBiYx29GKJMetnLwhYJP28ybCmZWko1uv7R,Success
19m,$0.0008,"0.003500",SOL,"0.001485",SOL,3M78RENfsDXvxZ5Ci9bmEQFJZaReUmrJCZv5VRuRBrBX44kmk1vg4BrGKNMgX2Xr5R1h6nVV4C7wgaTwS1WB8iDz,Success
19m,$0.0008,"0.003500",SOL,"0.001499",SOL,3SUNFD37ipdCjyopob77Ds5Yov5FSuq9SDpiFbPeVegRnfRRXivx53k1UyTE6xGpD78KLKBDMwWoH1T2rW1irkER,Success
21m,$0.0008,"0.003500",SOL,"0.001516",SOL,g5qJvFTH7ioZuecA2BMGT1FUXcHNL65dVXQFCUmTLBmo8kNonmpJUF7ZqTQEVKSvStZ3dUERuSS9cyygYNgciEF,Success
22m,$0.0001,"0.001500",SOL,"0.001503",SOL,4BCgroPNY5Rxv1GLF1rM5wAK1iXehfwkU352vnuz8jqTfLobtEpx4TyMn3brV16tBg3VBN8so9S7qjwuAP6zvn4G,Success
22m,$0.0023,"0.001166",SOL,"0.001274",SOL,64hXx8NKNwMN3zc2k9VZGQy3NS2nixmmHRVpwuG1tKjfMXL23fRqnfczZ1HK2SLb3Tizy9wKtdsMtfyNBDTDWti3,Success
26m,$0.0019,"0.006600",SOL,"0.003410",SOL,2jB2bHXM8ASp8uzewkuVFjJc1QbJoXq1Zjs66pS8TGMj32XMqJAfBo7tzSsLniu9r2s8CQmKtADzj11RyUJDjXrB,Success
27m,$0.0134,"0.033966",SOL,"0.003163",SOL,5xYHaGocx6kT7Ax9RrDNcQbkSWAUAKZVH9DKruJzGcCK1aueoZA6mcMnsVtBtPsynQgRrSMgugEoecS8R9BGFQVU,Success
29m,$0.0024,"0.001110",SOL,"0.001389",SOL,S4MVvrjZEwn2NcYxWZrAyykHz7Ug3PrP994tJuxWzaCjyoEDwZ9ApmjBxnqLGiGYsng8QwGJdecRMZaZ8CbNh74,Success
29m,$0.0022,"0.001011",SOL,"0.001375",SOL,3yFHnLwaP6Yo5yUQmNdAASzZRiJW9uqwiFhw79AASBZjNdJsppGr2JnQ3YgTfQMwLFp66HaQBbhkfQajimBX6GRT,Success
29m,$0.0079,"0.023650",SOL,"0.001664",SOL,5ppEGQ7MCwSTsJvLTt9HPHLnXvNz6ZvzRPkFeMTqRnD1BmAGSRdCVrYt2Kyf21oEx7EccGd3t5xck699fK4sog9B,Success
30m,$0.0090,"0.001500",SOL,"0.001496",SOL,55kapb6FWHDfuVBN26G4N8M94x7GdSrQ3Q1DS6mwFzdHuFFpsndgchnXNqGiDa4kYQ8A7JAHJUDpGeMpkmJCyxpG,Success
30m,$0.0026,"0.001210",SOL,"0.001302",SOL,5pSnh52cXkDHtmFhw7DJ8Z6sApRNSYyiEn6vemhJVyjh2ymmE5jFoUFcTtR8qnxrY4FitHj8BtPmhVTZSBtCDHLJ,Success
30m,$0.0346,"0.144563",SOL,"N/A",Unknown,23h1REjP7rvotUDpHg7fMPZ1erHWmK5igEbh7HCJVUxrx63USAdeStTpG5QeBApHFKPitpX6oRPcUV11Gm6RYDdq,Failed
32m,$0.0001,"0.001500",SOL,"0.004060",SOL,5ZjaNaCe8NdtTKtzbmskvZAhrGPtFvLvu8R6yb8ixSXiDrFbe1dgKvyDRHzc8ByYrLJQX7NSBbZggi7iocHayhba,Success
33m,$0.0008,"0.003500",SOL,"0.001472",SOL,2QHoK6XQyPV6WWGAXzn5esPGpoUptUZ2vU38uwpbxThDT8w4Dpn5YcWLAmi5n5fTTRu47WA5VvbSupLB6TKR4H3P,Success
33m,$0.0023,"0.001181",SOL,"0.001374",SOL,4qyL7mxnEZBEBHgn5qcLekj5hj17FF6sHq1bLJbF8vcGUxR42p7pGSYefizwjoHAvXjp2qHMigK5tA2brASoaFRy,Success
35m,$0.0169,"0.043061",SOL,"0.002462",SOL,26CwFaonfSEh3FfR5Qggdd2hChp4RmMviGUUi627ndxcLxVqhKhvuEcaNR5hNJuiEM2fyLkJa5xewbkBjTK3U4GV,Success
37m,$0.0047,"0.014069",SOL,"0.001062",SOL,2p5Q2htAK6tW4MnErgY8Qs7FXoJDE3FUDVV39naBEsGX5tcpA23VYJN5rCm4AfzwHtsBoQrt1taJga8DZF7krcj2,Success
38m,$0.0019,"0.006600",SOL,"0.001050",SOL,5b2DgQLnSZHjDuXQx1pBnMpWicKM6FV2nm3aXwTDVzmenr66J5T8tuq2tPvG5YJqUqcAZpQDiND9G5bYJtiW2nDi,Success
38m,$0.0020,"0.010500",SOL,"0.002060",SOL,23bC51nreuWHVtzbaL6dS1XcPkgdeJgmq66UoCCg1DUAQuHkZCZT58teqEGgTG4HTgCnLxjA9HnZqLKigu579tvw,Success
39m,$0.0019,"0.006600",SOL,"0.002337",SOL,3PCrDa1zDgKdmFwigzyFRKjWe1bhozvzXa3c9aLscFLCNweLG5QP3PvX7eGQ2vb81szFFsPs6BgEGsxAiSg8rQ86,Success
39m,$0.0113,"0.024836",SOL,"0.001484",SOL,4K2h2EH5fmazDpexv9R8Akhe9tru6qR2SNN29ij9wBVukt294KpQZQar5Ua2Gwq7ZSwctZQgWDBvKyU6fUb28nM2,Success
39m,$0.0027,"0.001382",SOL,"0.001373",SOL,5PhXEMa2WVLz8xyxeMKt7PStZECPJGVK1GT7cQiJShHR6cPA8HE3mnQ1B5qjRyZSNoPSmEaaEi8drncpDRqy4K3H,Success
39m,$0.0044,"0.013311",SOL,"0.001481",SOL,3W1RqkMmqEBd3qCP6ptgYdguaPk8rTVypEDsmgZsKsuktv2v4NnUqhAXgbcTBS3qJy2a9cw6dXD5ZWEoEhoHN8ee,Success
43m,$0.0030,"0.008938",SOL,"0.000895",SOL,2J9j3pgYRJq45BBQxSG2tgMPDt2AqKwZ89hZrTQ6HTx3APR6XW5BpM9fZ2i9PEGR44KR2Q9QxPFaSgz15r1gCaXr,Success
